Year,President,Party,Approval_Rating,Vote_Share,consumer.sentiment,Incumbent,incumb_poll
1954,Eisenhower,R,61,47.6,86,194,0.5543478
1954,Eisenhower,R,61,47.6,86,194,0.5106383
1954,Eisenhower,R,61,47.6,86,194,0.6373626
1958,Eisenhower,R,57,45.03,89,159,0.5777778
1958,Eisenhower,R,57,45.03,89,159,0.6111111
1962,Kennedy,D,58,52.87,94,193,0.5544554
1962,Kennedy,D,58,52.87,94,193,0.5978261
1962,Kennedy,D,58,52.87,94,193,0.56
1962,Kennedy,D,58,52.87,94,193,0.6263736
1966,Johnson,D,44,50.86,88.5,205,0.54
1966,Johnson,D,44,50.86,88.5,205,0.6179775
1966,Johnson,D,44,50.86,88.5,205,0.5568182
1966,Johnson,D,44,50.86,88.5,205,0.5714286
1966,Johnson,D,44,50.86,88.5,205,0.5247525
1970,Nixon,R,58,45.78,72.5,151,0.5319149
1970,Nixon,R,58,45.78,72.5,151,0.5909091
1970,Nixon,R,58,45.78,72.5,151,0.5806452
1970,Nixon,R,58,45.78,72.5,151,0.5909091
1970,Nixon,R,58,45.78,72.5,151,0.4
1970,Nixon,R,58,45.78,72.5,151,0.5977011
1970,Nixon,R,58,45.78,72.5,151,0.5909091
1974,Ford,R,52,41.43,60,162,0.6395349
1974,Ford,R,52,41.43,60,162,0.6666667
1974,Ford,R,52,41.43,60,162,0.6865672
1974,Ford,R,52,41.43,60,162,0.3882353
1974,Ford,R,52,41.43,60,162,0.6823529
1974,Ford,R,52,41.43,60,162,0.691358
1978,Carter,D,49,54.31,79.3,244,0.6419753
1978,Carter,D,49,54.31,79.3,244,0.6470588
1978,Carter,D,49,54.31,79.3,244,0.6463415
1978,Carter,D,49,54.31,79.3,244,0.5875
1978,Carter,D,49,54.31,79.3,244,0.6161616
1978,Carter,D,49,54.31,79.3,244,0.637931
1978,Carter,D,49,54.31,79.3,244,0.55
1978,Carter,D,49,54.31,79.3,244,0.6338028
1978,Carter,D,49,54.31,79.3,244,0.627907
1982,Reagan,R,42,43.85,73.4,164,0.5652174
1982,Reagan,R,42,43.85,73.4,164,0.5714286
1982,Reagan,R,42,43.85,73.4,164,0.5483871
1982,Reagan,R,42,43.85,73.4,164,0.59375
1982,Reagan,R,42,43.85,73.4,164,0.5925926
1986,Reagan,R,63,44.81,95.6,160,0.5121951
1986,Reagan,R,63,44.81,95.6,160,0.5208333
1986,Reagan,R,63,44.81,95.6,160,0.5483871
1986,Reagan,R,63,44.81,95.6,160,0.4761905
1986,Reagan,R,63,44.81,95.6,160,0.597561
1986,Reagan,R,63,44.81,95.6,160,0.556962
1986,Reagan,R,63,44.81,95.6,160,0.5274725
1990,Bush,R,66,45.91,63.9,153,0.5633803
1990,Bush,R,66,45.91,63.9,153,0.5333333
1990,Bush,R,66,45.91,63.9,153,0.5147059
1990,Bush,R,66,45.91,63.9,153,0.55
1990,Bush,R,66,45.91,63.9,153,0.5512821
1990,Bush,R,66,45.91,63.9,153,0.4891304
1990,Bush,R,66,45.91,63.9,153,0.5384615
1990,Bush,R,66,45.91,63.9,153,0.5362319
1990,Bush,R,66,45.91,63.9,153,0.5578947
1990,Bush,R,66,45.91,63.9,153,0.5543478
1990,Bush,R,66,45.91,63.9,153,0.5444444
1990,Bush,R,66,45.91,63.9,153,0.5555556
1990,Bush,R,66,45.91,63.9,153,0.5376344
1994,Clinton,D,48,46.41,92.7,220,0.5164835
1994,Clinton,D,48,46.41,92.7,220,0.4946237
1994,Clinton,D,48,46.41,92.7,220,0.5280899
1994,Clinton,D,48,46.41,92.7,220,0.4886364
1994,Clinton,D,48,46.41,92.7,220,0.4761905
1994,Clinton,D,48,46.41,92.7,220,0.4605263
1994,Clinton,D,48,46.41,92.7,220,0.4835165
1994,Clinton,D,48,46.41,92.7,220,0.4893617
1994,Clinton,D,48,46.41,92.7,220,0.5066667
1994,Clinton,D,48,46.41,92.7,220,0.53125
1994,Clinton,D,48,46.41,92.7,220,0.5212766
1994,Clinton,D,48,46.41,92.7,220,0.5185185
1994,Clinton,D,48,46.41,92.7,220,0.5416667
1994,Clinton,D,48,46.41,92.7,220,0.5394737
1994,Clinton,D,48,46.41,92.7,220,0.483871
1994,Clinton,D,48,46.41,92.7,220,0.4675325
1994,Clinton,D,48,46.41,92.7,220,0.5060241
1994,Clinton,D,48,46.41,92.7,220,0.4683544
1994,Clinton,D,48,46.41,92.7,220,0.4805195
1994,Clinton,D,48,46.41,92.7,220,0.5108696
1998,Clinton,D,66,49.39,97.4,182,0.5051546
1998,Clinton,D,66,49.39,97.4,182,0.5
1998,Clinton,D,66,49.39,97.4,182,0.5529412
1998,Clinton,D,66,49.39,97.4,182,0.5494505
1998,Clinton,D,66,49.39,97.4,182,0.5054945
1998,Clinton,D,66,49.39,97.4,182,0.53125
1998,Clinton,D,66,49.39,97.4,182,0.5697674
1998,Clinton,D,66,49.39,97.4,182,0.5301205
1998,Clinton,D,66,49.39,97.4,182,0.4845361
1998,Clinton,D,66,49.39,97.4,182,0.4512195
1998,Clinton,D,66,49.39,97.4,182,0.5053763
1998,Clinton,D,66,49.39,97.4,182,0.4893617
1998,Clinton,D,66,49.39,97.4,182,0.5189873
1998,Clinton,D,66,49.39,97.4,182,0.5104167
1998,Clinton,D,66,49.39,97.4,182,0.5052632
1998,Clinton,D,66,49.39,97.4,182,0.4947368
1998,Clinton,D,66,49.39,97.4,182,0.4883721
1998,Clinton,D,66,49.39,97.4,182,0.5227273
1998,Clinton,D,66,49.39,97.4,182,0.4725275
1998,Clinton,D,66,49.39,97.4,182,0.5189873
1998,Clinton,D,66,49.39,97.4,182,0.5212766
1998,Clinton,D,66,49.39,97.4,182,0.4761905
1998,Clinton,D,66,49.39,97.4,182,0.4875
1998,Clinton,D,66,49.39,97.4,182,0.5164835
1998,Clinton,D,66,49.39,97.4,182,0.5121951
1998,Clinton,D,66,49.39,97.4,182,0.5113636
1998,Clinton,D,66,49.39,97.4,182,0.4418605
1998,Clinton,D,66,49.39,97.4,182,0.4756098
1998,Clinton,D,66,49.39,97.4,182,0.5222222
1998,Clinton,D,66,49.39,97.4,182,0.5106383
1998,Clinton,D,66,49.39,97.4,182,0.4555556
1998,Clinton,D,66,49.39,97.4,182,0.4895833
1998,Clinton,D,66,49.39,97.4,182,0.5393258
1998,Clinton,D,66,49.39,97.4,182,0.5180723
