"","year","st_cd_fips","incumb","state","district_num"
"1",2022,"0101",0,"Alabama","01"
"2",2022,"0102",0,"Alabama","02"
"3",2022,"0103",0,"Alabama","03"
"4",2022,"0104",0,"Alabama","04"
"5",2022,"0105",0,"Alabama","05"
"6",2022,"0106",0,"Alabama","06"
"7",2022,"0107",1,"Alabama","07"
"8",2022,"0200",0,"Alaska","00"
"9",2022,"0401",1,"Arizona","01"
"10",2022,"0402",1,"Arizona","02"
"11",2022,"0403",1,"Arizona","03"
"12",2022,"0404",0,"Arizona","04"
"13",2022,"0405",0,"Arizona","05"
"14",2022,"0406",0,"Arizona","06"
"15",2022,"0407",1,"Arizona","07"
"16",2022,"0408",0,"Arizona","08"
"17",2022,"0409",1,"Arizona","09"
"18",2022,"0501",0,"Arkansas","01"
"19",2022,"0502",0,"Arkansas","02"
"20",2022,"0503",0,"Arkansas","03"
"21",2022,"0504",0,"Arkansas","04"
"22",2022,"0601",0,"California","01"
"23",2022,"0602",1,"California","02"
"24",2022,"0603",1,"California","03"
"25",2022,"0604",0,"California","04"
"26",2022,"0605",1,"California","05"
"27",2022,"0606",1,"California","06"
"28",2022,"0607",1,"California","07"
"29",2022,"0608",0,"California","08"
"30",2022,"0609",1,"California","09"
"31",2022,"0610",1,"California","10"
"32",2022,"0611",1,"California","11"
"33",2022,"0612",1,"California","12"
"34",2022,"0613",1,"California","13"
"35",2022,"0614",1,"California","14"
"36",2022,"0615",1,"California","15"
"37",2022,"0616",1,"California","16"
"38",2022,"0617",1,"California","17"
"39",2022,"0618",1,"California","18"
"40",2022,"0619",1,"California","19"
"41",2022,"0620",1,"California","20"
"42",2022,"0621",0,"California","21"
"43",2022,"0622",0,"California","22"
"44",2022,"0623",0,"California","23"
"45",2022,"0624",1,"California","24"
"46",2022,"0625",0,"California","25"
"47",2022,"0626",1,"California","26"
"48",2022,"0627",1,"California","27"
"49",2022,"0628",1,"California","28"
"50",2022,"0629",1,"California","29"
"51",2022,"0630",1,"California","30"
"52",2022,"0631",1,"California","31"
"53",2022,"0632",1,"California","32"
"54",2022,"0633",1,"California","33"
"55",2022,"0634",1,"California","34"
"56",2022,"0635",1,"California","35"
"57",2022,"0636",1,"California","36"
"58",2022,"0637",1,"California","37"
"59",2022,"0638",1,"California","38"
"60",2022,"0639",0,"California","39"
"61",2022,"0640",1,"California","40"
"62",2022,"0641",1,"California","41"
"63",2022,"0642",0,"California","42"
"64",2022,"0643",1,"California","43"
"65",2022,"0644",1,"California","44"
"66",2022,"0645",1,"California","45"
"67",2022,"0646",1,"California","46"
"68",2022,"0647",1,"California","47"
"69",2022,"0648",0,"California","48"
"70",2022,"0649",1,"California","49"
"71",2022,"0650",0,"California","50"
"72",2022,"0651",1,"California","51"
"73",2022,"0652",1,"California","52"
"74",2022,"0653",1,"California","53"
"75",2022,"0801",1,"Colorado","01"
"76",2022,"0802",1,"Colorado","02"
"77",2022,"0803",0,"Colorado","03"
"78",2022,"0804",0,"Colorado","04"
"79",2022,"0805",0,"Colorado","05"
"80",2022,"0806",1,"Colorado","06"
"81",2022,"0807",1,"Colorado","07"
"82",2022,"0901",1,"Connecticut","01"
"83",2022,"0902",1,"Connecticut","02"
"84",2022,"0903",1,"Connecticut","03"
"85",2022,"0904",1,"Connecticut","04"
"86",2022,"0905",1,"Connecticut","05"
"87",2022,"1000",1,"Delaware","00"
"88",2022,"1201",0,"Florida","01"
"89",2022,"1202",0,"Florida","02"
"90",2022,"1203",0,"Florida","03"
"91",2022,"1204",0,"Florida","04"
"92",2022,"1205",1,"Florida","05"
"93",2022,"1206",0,"Florida","06"
"94",2022,"1207",1,"Florida","07"
"95",2022,"1208",0,"Florida","08"
"96",2022,"1209",1,"Florida","09"
"97",2022,"1210",1,"Florida","10"
"98",2022,"1211",0,"Florida","11"
"99",2022,"1212",0,"Florida","12"
"100",2022,"1213",1,"Florida","13"
"101",2022,"1214",1,"Florida","14"
"102",2022,"1215",0,"Florida","15"
"103",2022,"1216",0,"Florida","16"
"104",2022,"1217",0,"Florida","17"
"105",2022,"1218",0,"Florida","18"
"106",2022,"1219",0,"Florida","19"
"107",2022,"1220",1,"Florida","20"
"108",2022,"1221",1,"Florida","21"
"109",2022,"1222",1,"Florida","22"
"110",2022,"1223",1,"Florida","23"
"111",2022,"1224",1,"Florida","24"
"112",2022,"1225",0,"Florida","25"
"113",2022,"1226",0,"Florida","26"
"114",2022,"1227",0,"Florida","27"
"115",2022,"1301",0,"Georgia","01"
"116",2022,"1302",1,"Georgia","02"
"117",2022,"1303",0,"Georgia","03"
"118",2022,"1304",1,"Georgia","04"
"119",2022,"1305",1,"Georgia","05"
"120",2022,"1306",1,"Georgia","06"
"121",2022,"1307",1,"Georgia","07"
"122",2022,"1308",0,"Georgia","08"
"123",2022,"1309",0,"Georgia","09"
"124",2022,"1310",0,"Georgia","10"
"125",2022,"1311",0,"Georgia","11"
"126",2022,"1312",0,"Georgia","12"
"127",2022,"1313",1,"Georgia","13"
"128",2022,"1314",0,"Georgia","14"
"129",2022,"1501",1,"Hawaii","01"
"130",2022,"1502",1,"Hawaii","02"
"131",2022,"1601",0,"Idaho","01"
"132",2022,"1602",0,"Idaho","02"
"133",2022,"1701",1,"Illinois","01"
"134",2022,"1702",1,"Illinois","02"
"135",2022,"1703",1,"Illinois","03"
"136",2022,"1704",1,"Illinois","04"
"137",2022,"1705",1,"Illinois","05"
"138",2022,"1706",1,"Illinois","06"
